Central Coast Mariners (Australian),1.FC Nürnberg (German)
Newcastle United Jets (Australian),Queensland Roar (Australian)
Newcastle United Jets (Australian),New Zealand Knights (Australian)
Newcastle United Jets (Australian),Queensland Roar (Australian)
New Zealand Knights (Australian),Sydney FC (Australian)
Perth Glory (Australian),Sivasspor (Turkish)
Perth Glory (Australian),Ventforet Kofu (Japanese)
Perth Glory (Australian),Melbourne Victory (Australian)
Perth Glory (Australian),Central Coast Mariners (Australian)
Queensland Roar (Australian),New Zealand Knights (Australian)
Queensland Roar (Australian),Sydney FC (Australian)
Queensland Roar (Australian),Brøndby (Danish)
Sydney FC (Australian),Queensland Roar (Australian)
Arsenal (English),Chelsea (English)
Arsenal (English),Real Madrid (Spanish)
Arsenal (English),Portsmouth (English)
Arsenal (English),Charlton Athletic (English)
Arsenal (English),Villarreal (Spanish)
Arsenal (English),Portsmouth (English)
Aston Villa (English),Lyon (French)
Aston Villa (English),Newcastle United (English)
Aston Villa (English),Reading (English)
Birmingham City (English),West Ham United (English)
Birmingham City (English),Liverpool (English)
Birmingham City (English),Blackburn Rovers (English)
Birmingham City (English),Celtic (Scottish)
Birmingham City (English),Wigan Athletic (English)
Birmingham City (English),Lierse (Belgian)
Birmingham City (English),Rennes (French)
Birmingham City (English),Aston Villa (English)
Blackburn Rovers (English),West Ham United (English)
Blackburn Rovers (English),Manchester City (English)
Blackburn Rovers (English),Liverpool (English)
Blackburn Rovers (English),Recreativo Huelva (Spanish)
Blackburn Rovers (English),Watford (English)
Blackburn Rovers (English),Cercle Brugge (Belgian)
Lyn (Norwegian),Bolton Wanderers (English)
Charlton Athletic (English),Middlesbrough (English)
Charlton Athletic (English),Blackburn Rovers (English)
Charlton Athletic (English),Brøndby (Danish)
Charlton Athletic (English),Watford (English)
Charlton Athletic (English),West Ham United (English)
Chelsea (English),Portsmouth (English)
Chelsea (English),Valencia (Spanish)
Chelsea (English),Atlético Madrid (Spanish)
Dynamo Moscow (Russian),Atlético Madrid (Spanish)
Chelsea (English),Internazionale (Italian)
Chelsea (English),Newcastle United (English)
Chelsea (English),West Ham United (English)
Chelsea (English),Arsenal (English)
Chelsea (English),Middlesbrough (English)
Everton (English),Rangers (Scottish)
Everton (English),Fulham (English)
Everton (English),Sheffield United (English)
Everton (English),Wigan Athletic (English)
Everton (English),Roma (Italian)
Everton (English),Waterford United (Irish)
Fulham (English),Tottenham Hotspur (English)
Fulham (English),West Ham United (English)
Columbus Crew (USA),Fulham (English)
Fulham (English),Chelsea (English)
Fulham (English),FC København (Danish)
Liverpool (English),PSV Eindhoven (Dutch)
Liverpool (English),Marseille (French)
Liverpool (English),Manchester City (English)
Liverpool (English),Valencia (Spanish)
Liverpool (English),Charlton Athletic (English)
Liverpool (English),Portsmouth (English)
Liverpool (English),Blackburn Rovers (English)
Liverpool (English),Deportivo La Coruña (Spanish)
Manchester City (English),Portsmouth (English)
Manchester City (English),Sheffield United (English)
Manchester City (English),Charlton Athletic (English)
Manchester City (English),Sandefjord (Norwegian)
Manchester City (English),Portsmouth (English)
Manchester City (English),Newcastle United (English)
Manchester City (English),Trabzonspor (Turkish)
Manchester City (English),Espanyol (Spanish)
Manchester City (English),Zulte-Waregem (Belgian)
Manchester City (English),Brøndby (Danish)
Manchester City (English),Falkirk (Scottish)
Manchester United (English),Everton (English)
Manchester United (English),Bolton Wanderers (English)
Manchester United (English),Aston Villa (English)
Manchester United (English),Zaragoza (Spanish)
Manchester United (English),Brøndby (Danish)
Manchester United (English),Parma (Italian)
Middlesbrough (English),Fulham (English)
Middlesbrough (English),Rangers (Scottish)
Middlesbrough (English),Charlton Athletic (English)
Middlesbrough (English),Siena (Italian)
Newcastle United (English),West Ham United (English)
Newcastle United (English),Charlton Athletic (English)
Portsmouth (English),Zaragoza (Spanish)
Portsmouth (English),Club Brugge (Belgian)
Portsmouth (English),Marítimo (Portuguese)
Portsmouth (English),Skoda Xanthi (Greek)
Portsmouth (English),Fulham (English)
Sunderland (English),West Ham United (English)
Sunderland (English),Sheffield United (English)
Sunderland (English),Tottenham Hotspur (English)
Sunderland (English),Sochaux (French)
Sunderland (English),Aberdeen (Scottish)
Sunderland (English),Larissa (Greek)
Sunderland (English),Arsenal (English)
Sunderland (English),Middlesbrough (English)
Tottenham Hotspur (English),Ajax (Dutch)
Tottenham Hotspur (English),Manchester United (English)
Tottenham Hotspur (English),ADO Den Haag (Dutch)
Tottenham Hotspur (English),West Ham United (English)
West Bromwich Albion (English),West Ham United (English)
West Bromwich Albion (English),Wigan Athletic (English)
West Bromwich Albion (English),Portsmouth (English)
West Bromwich Albion (English),Manchester United (English)
West Bromwich Albion (English),Galatasaray (Turkish)
West Ham United (English),Racing Santander (Spanish)
West Ham United (English),FC Dallas (USA)
Wigan Athletic (English),Tottenham Hotspur (English)
Wigan Athletic (English),Watford (English)
Brann (Norwegian),Wigan Athletic (English)
Wigan Athletic (English),Fulham (English)
Wigan Athletic (English),Sampdoria (Italian)
Wigan Athletic (English),Bolton Wanderers (English)
Wigan Athletic (English),Blackburn Rovers (English)
Ascoli (Italian),Cagliari (Italian)
Ascoli (Italian),Palermo (Italian)
Ascoli (Italian),Empoli (Italian)
Ascoli (Italian),Torino (Italian)
Ascoli (Italian),Reggina (Italian)
Ascoli (Italian),Sampdoria (Italian)
Ascoli (Italian),Parma (Italian)
Ascoli (Italian),Parma (Italian)
Ascoli (Italian),Roma (Italian)
Ascoli (Italian),Sampdoria (Italian)
Ascoli (Italian),Lazio (Italian)
Ascoli (Italian),Sampdoria (Italian)
Cagliari (Italian),Fiorentina (Italian)
Cagliari (Italian),Reggina (Italian)
Cagliari (Italian),Atalanta (Italian)
Chievo Verona (Italian),Palermo (Italian)
Chievo Verona (Italian),Palermo (Italian)
Chievo Verona (Italian),Sampdoria (Italian)
Empoli (Italian),Udinese (Italian)
Empoli (Italian),Roma (Italian)
Empoli (Italian),Ascoli (Italian)
Empoli (Italian),Messina (Italian)
Fiorentina (Italian),Livorno (Italian)
Fiorentina (Italian),Lazio (Italian)
Fiorentina (Italian),Torino (Italian)
Fiorentina (Italian),Torino (Italian)
Fiorentina (Italian),Milan (Italian)
Fiorentina (Italian),Sampdoria (Italian)
Fiorentina (Italian),Parma (Italian)
Treviso (Italian),Parma (Italian)
Internazionale (Italian),Milan (Italian)
Internazionale (Italian),Rosario Central (Argentinian)
Internazionale (Italian),Newcastle United (English)
Internazionale (Italian),Livorno (Italian)
Internazionale (Italian),Corinthians (Brazilian)
Internazionale (Italian),PSV Eindhoven (Dutch)
Internazionale (Italian),Udinese (Italian)
Juventus (Italian),Internazionale (Italian)
Juventus (Italian),Fiorentina (Italian)
Juventus (Italian),Barcelona (Spanish)
Juventus (Italian),Fiorentina (Italian)
Juventus (Italian),Barcelona (Spanish)
Juventus (Italian),Sampdoria (Italian)
Juventus (Italian),Real Madrid (Spanish)
Juventus (Italian),Torino (Italian)
Juventus (Italian),Ascoli (Italian)
Lazio (Italian),Messina (Italian)
Lazio (Italian),Fiorentina (Italian)
Lazio (Italian),Milan (Italian)
Lecce (Italian),Chievo Verona (Italian)
Lecce (Italian),Feyenoord (Dutch)
Lecce (Italian),Empoli (Italian)
Lecce (Italian),Palermo (Italian)
Lecce (Italian),Chievo Verona (Italian)
Lecce (Italian),Catania (Italian)
Lecce (Italian),Empoli (Italian)
Lecce (Italian),Lazio (Italian)
Lecce (Italian),Sampdoria (Italian)
Lecce (Italian),Roma (Italian)
Lecce (Italian),Siena (Italian)
Livorno (Italian),Messina (Italian)
Livorno (Italian),Torino (Italian)
Livorno (Italian),Torino (Italian)
Livorno (Italian),Catania (Italian)
Livorno (Italian),Chievo Verona (Italian)
Botafogo (Brazilian),Chievo Verona (Italian)
Messina (Italian),Milan (Italian)
Messina (Italian),Livorno (Italian)
Messina (Italian),Atalanta (Italian)
Messina (Italian),Reggina (Italian)
Messina (Italian),Udinese (Italian)
Messina (Italian),Livorno (Italian)
Milan (Italian),Chelsea (English)
Milan (Italian),Betis (Spanish)
Milan (Italian),Ajax (Dutch)
Milan (Italian),Corinthians (Brazilian)
Milan (Italian),Empoli (Italian)
Palermo (Italian),Ascoli (Italian)
Palermo (Italian),Torino (Italian)
Palermo (Italian),Internazionale (Italian)
Palermo (Italian),Fiorentina (Italian)
Palermo (Italian),Fiorentina (Italian)
Palermo (Italian),Siena (Italian)
Palermo (Italian),Lazio (Italian)
Palermo (Italian),Sampdoria (Italian)
Palermo (Italian),Atalanta (Italian)
Palermo (Italian),Sampdoria (Italian)
Palermo (Italian),Siena (Italian)
Parma (Italian),Milan (Italian)
Parma (Italian),Manchester City (English)
Parma (Italian),Palermo (Italian)
Parma (Italian),Le Mans (French)
Parma (Italian),Livorno (Italian)
Parma (Italian),Ascoli (Italian)
Reggina (Italian),Sporting CP (Portuguese)
Reggina (Italian),Cagliari (Italian)
Reggina (Italian),Siena (Italian)
Reggina (Italian),Torino (Italian)
Roma (Italian),Torino (Italian)
Roma (Italian),Messina (Italian)
Roma (Italian),Fulham (English)
Roma (Italian),Internazionale (Italian)
Roma (Italian),Levante (Spanish)
Roma (Italian),Ascoli (Italian)
Roma (Italian),Blackburn Rovers (English)
Sampdoria (Italian),Parma (Italian)
Sampdoria (Italian),Roma (Italian)
Sampdoria (Italian),Palermo (Italian)
Sampdoria (Italian),Messina (Italian)
Sampdoria (Italian),Livorno (Italian)
Sampdoria (Italian),Palermo (Italian)
Siena (Italian),Catania (Italian)
Siena (Italian),Cagliari (Italian)
Siena (Italian),Messina (Italian)
Siena (Italian),Ascoli (Italian)
Siena (Italian),Chievo Verona (Italian)
Treviso (Italian),Lazio (Italian)
Treviso (Italian),Milan (Italian)
Treviso (Italian),Livorno (Italian)
Treviso (Italian),Anderlecht (Belgian)
Treviso (Italian),Udinese (Italian)
Treviso (Italian),Fiorentina (Italian)
Treviso (Italian),Udinese (Italian)
Treviso (Italian),Sampdoria (Italian)
Udinese (Italian),Parma (Italian)
Udinese (Italian),Siena (Italian)
Udinese (Italian),Sampdoria (Italian)
Udinese (Italian),Messina (Italian)
Udinese (Italian),Atalanta (Italian)
Udinese (Italian),Messina (Italian)
Udinese (Italian),Catania (Italian)
Udinese (Italian),Sampdoria (Italian)
Udinese (Italian),Cagliari (Italian)
Udinese (Italian),Messina (Italian)
Udinese (Italian),Roma (Italian)
Udinese (Italian),Siena (Italian)
Udinese (Italian),Atlético Paranaense (Brazilian)
Udinese (Italian),Lazio (Italian)
Alania Vladikavkaz (Russian),FC Midtjylland (Danish)
Alania Vladikavkaz (Russian),Metalurh Zaporizhya (Ukrainian)
Alania Vladikavkaz (Russian),Luch-Energia Vladivostok (Russian)
Alania Vladikavkaz (Russian),Rubin Kazan (Russian)
Alania Vladikavkaz (Russian),Dnipro Dnipropetrovsk (Ukrainian)
Alania Vladikavkaz (Russian),Spartak Nalchik (Russian)
Alania Vladikavkaz (Russian),FC Rostov (Russian)
Alania Vladikavkaz (Russian),Metalurh Donetsk (Ukrainian)
Amkar Perm (Russian),Wisła Kraków (Polish)
CSKA Moscow (Russian),Hamburger SV (German)
CSKA Moscow (Russian),Dnipro Dnipropetrovsk (Ukrainian)
CSKA Moscow (Russian),Dnipro Dnipropetrovsk (Ukrainian)
Dynamo Moscow (Russian),Benfica (Portuguese)
Dynamo Moscow (Russian),Luch-Energia Vladivostok (Russian)
Dynamo Moscow (Russian),Saturn (Russian)
Dynamo Moscow (Russian),Saturn (Russian)
Dynamo Moscow (Russian),Atlético Madrid (Spanish)
Dynamo Moscow (Russian),Desportivo das Aves (Portuguese)
FC Moscow (Russian),FC Rostov (Russian)
FC Moscow (Russian),Luch-Energia Vladivostok (Russian)
FC Moscow (Russian),Torpedo Moscow (Russian)
FC Moscow (Russian),Rubin Kazan (Russian)
FC Rostov (Russian),Rubin Kazan (Russian)
Krylia Sovetov (Russian),Shinnik (Russian)
Krylia Sovetov (Russian),Sakaryaspor (Turkish)
Krylia Sovetov (Russian),Tom Tomsk (Russian)
