Tigre (Argentinian),Quilmes (Argentinian)
Tigre (Argentinian),Estudiantes (La Plata) (Argentinian)
Tigre (Argentinian),River Plate (Argentinian)
Unión (Santa Fe) (Argentinian),Independiente (Argentinian)
Unión (Santa Fe) (Argentinian),Belgrano (Córdoba) (Argentinian)
Vélez Sarsfield (Argentinian),River Plate (Argentinian)
Vélez Sarsfield (Argentinian),Lanús (Argentinian)
Vélez Sarsfield (Argentinian),Corinthians (Brazilian)
Vélez Sarsfield (Argentinian),Celta Vigo (Spanish)
Vélez Sarsfield (Argentinian),Godoy Cruz (Mendoza) (Argentinian)
Vélez Sarsfield (Argentinian),Independiente (Argentinian)
Vélez Sarsfield (Argentinian),Racing Club (Argentinian)
Vélez Sarsfield (Argentinian),Chicago Fire (USA)
Vélez Sarsfield (Argentinian),San Martín (San Juan) (Argentinian)
Beijing Guo'an (Chinese),Henan Jianye (Chinese)
Beijing Guo'an (Chinese),Shanghai Shenhua (Chinese)
Beijing Guo'an (Chinese),Sydney FC (Australian)
Beijing Guo'an (Chinese),Nacional (Portuguese)
Changchun Yatai (Chinese),Tianjin Teda (Chinese)
Changchun Yatai (Chinese),Guangzhou R&F (Chinese)
Chengdu Blades (Chinese),Guangzhou Evergrande (Chinese)
Chengdu Blades (Chinese),Shanghai Shenxin (Chinese)
Chengdu Blades (Chinese),Guangzhou R&F (Chinese)
Chengdu Blades (Chinese),Tianjin Teda (Chinese)
Chengdu Blades (Chinese),Guangzhou Evergrande (Chinese)
Chengdu Blades (Chinese),Central Coast Mariners (Australian)
Dalian Shide (Chinese),Shanghai Shenhua (Chinese)
Dalian Shide (Chinese),Shanghai Shenxin (Chinese)
Guangzhou Evergrande (Chinese),Guizhou Renhe (Chinese)
Guangzhou Evergrande (Chinese),Guangzhou R&F (Chinese)
Hangzhou Greentown (Chinese),Sydney FC (Australian)
Hangzhou Greentown (Chinese),Guangzhou Evergrande (Chinese)
Hangzhou Greentown (Chinese),Shandong Luneng (Chinese)
Hangzhou Greentown (Chinese),Dalian Aerbin (Chinese)
Hangzhou Greentown (Chinese),Beijing Guo'an (Chinese)
Hangzhou Greentown (Chinese),Guizhou Renhe (Chinese)
Hangzhou Greentown (Chinese),Beijing Guo'an (Chinese)
Henan Jianye (Chinese),Shanghai Shenhua (Chinese)
Henan Jianye (Chinese),Melbourne Victory (Australian)
Jiangsu Sainty (Chinese),Dalian Aerbin (Chinese)
Liaoning Hongyun (Chinese),Guangzhou Evergrande (Chinese)
Liaoning Hongyun (Chinese),Perth Glory (Australian)
Nanchang (Chinese),Beijing Guo'an (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Beijing Guo'an (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Shanghai Shenxin (Chinese)
Nanchang (Chinese),Changchun Yatai (Chinese)
Shaanxi Chanba (Chinese),Guizhou Renhe (Chinese)
Shaanxi Chanba (Chinese),Guizhou Renhe (Chinese)
Shaanxi Chanba (Chinese),Guizhou Renhe (Chinese)
Shaanxi Chanba (Chinese),Guangzhou Evergrande (Chinese)
Shaanxi Chanba (Chinese),Guizhou Renhe (Chinese)
Shaanxi Chanba (Chinese),Vegalta Sendai (Japanese)
Shaanxi Chanba (Chinese),Guizhou Renhe (Chinese)
Shaanxi Chanba (Chinese),Guizhou Renhe (Chinese)
Shaanxi Chanba (Chinese),Shanghai Shenxin (Chinese)
Shaanxi Chanba (Chinese),Guizhou Renhe (Chinese)
Shaanxi Chanba (Chinese),Guizhou Renhe (Chinese)
Shaanxi Chanba (Chinese),Guizhou Renhe (Chinese)
Shaanxi Chanba (Chinese),Henan Jianye (Chinese)
Shandong Luneng (Chinese),Palmeiras (Brazilian)
Shandong Luneng (Chinese),Liaoning Hongyun (Chinese)
Shandong Luneng (Chinese),Jiangsu Sainty (Chinese)
Shandong Luneng (Chinese),Paços de Ferreira (Portuguese)
Shandong Luneng (Chinese),Qingdao Jonoon (Chinese)
Shandong Luneng (Chinese),Dalian Aerbin (Chinese)
Shandong Luneng (Chinese),Liaoning Hongyun (Chinese)
Shenzhen Ruby (Chinese),Guangzhou R&F (Chinese)
Shenzhen Ruby (Chinese),Henan Jianye (Chinese)
Shenzhen Ruby (Chinese),Dalian Aerbin (Chinese)
Shenzhen Ruby (Chinese),Liaoning Hongyun (Chinese)
Tianjin Teda (Chinese),Beijing Guo'an (Chinese)
Tianjin Teda (Chinese),Dalian Aerbin (Chinese)
Tianjin Teda (Chinese),Guangzhou R&F (Chinese)
Aalborg (Danish),Ajax (Dutch)
Aarhus (Danish),AZ Alkmaar (Dutch)
Aarhus (Danish),Esbjerg (Danish)
Brøndby (Danish),FC Groningen (Dutch)
Brøndby (Danish),Celta Vigo (Spanish)
Brøndby (Danish),Odense (Danish)
Horsens (Danish),SønderjyskE (Danish)
Horsens (Danish),SønderjyskE (Danish)
Horsens (Danish),SønderjyskE (Danish)
FC København (Danish),Helsingborgs IF (Swedish)
FC København (Danish),Molde (Norwegian)
FC København (Danish),Lokomotiv Moscow (Russian)
FC København (Danish),Everton (English)
FC København (Danish),Esbjerg (Danish)
FC København (Danish),PSV Eindhoven (Dutch)
FC København (Danish),Rosenborg (Norwegian)
HB Køge (Danish),SønderjyskE (Danish)
HB Køge (Danish),Silkeborg (Danish)
HB Køge (Danish),Åtvidabergs FF (Swedish)
Lyngby (Danish),Odense (Danish)
Lyngby (Danish),Esbjerg (Danish)
Lyngby (Danish),Sandnes Ulf (Norwegian)
Lyngby (Danish),FC Nordsjælland (Danish)
Lyngby (Danish),FC Nordsjælland (Danish)
Lyngby (Danish),FC Nordsjælland (Danish)
FC Midtjylland (Danish),Brøndby (Danish)
FC Midtjylland (Danish),Randers (Danish)
FC Midtjylland (Danish),SønderjyskE (Danish)
FC Midtjylland (Danish),Horsens (Danish)
FC Nordsjælland (Danish),FC Twente (Dutch)
FC Nordsjælland (Danish),Club Brugge (Belgian)
Halmstads BK (Swedish),FC Nordsjælland (Danish)
FC Nordsjælland (Danish),Augsburg (German)
FC Nordsjælland (Danish),Saint-Etienne (French)
FC Nordsjælland (Danish),BK Häcken (Swedish)
IF Elfsborg (Swedish),Odense (Danish)
Odense (Danish),Esbjerg (Danish)
Odense (Danish),Rosenborg (Norwegian)
Odense (Danish),Sochaux (French)
Odense (Danish),FC København (Danish)
Odense (Danish),Brest (French)
SønderjyskE (Danish),Melbourne Victory (Australian)
SønderjyskE (Danish),Lillestrøm (Norwegian)
SønderjyskE (Danish),Brøndby (Danish)
SønderjyskE (Danish),Esbjerg (Danish)
SønderjyskE (Danish),FC Nordsjælland (Danish)
SønderjyskE (Danish),Strømsgodset (Norwegian)
Bohemians (Irish),St Patrick's Athletic (Irish)
Bohemians (Irish),Dundalk (Irish)
Bohemians (Irish),St Patrick's Athletic (Irish)
Bohemians (Irish),St Patrick's Athletic (Irish)
Bohemians (Irish),St Patrick's Athletic (Irish)
Bohemians (Irish),Shamrock Rovers (Irish)
Bohemians (Irish),U.C.D. (Irish)
Bohemians (Irish),Shelbourne (Irish)
Bohemians (Irish),Bray Wanderers (Irish)
Bohemians (Irish),St Patrick's Athletic (Irish)
Bohemians (Irish),Shelbourne (Irish)
Bohemians (Irish),St Patrick's Athletic (Irish)
Bohemians (Irish),St Patrick's Athletic (Irish)
Bray Wanderers (Irish),Drogheda United (Irish)
Bray Wanderers (Irish),Dundalk (Irish)
Bray Wanderers (Irish),St Patrick's Athletic (Irish)
Bray Wanderers (Irish),Derry City (Irish)
Drogheda United (Irish),Shamrock Rovers (Irish)
Drogheda United (Irish),Dundalk (Irish)
Drogheda United (Irish),Sligo Rovers (Irish)
Drogheda United (Irish),Bohemians (Irish)
Drogheda United (Irish),Dundalk (Irish)
Drogheda United (Irish),Bohemians (Irish)
Dundalk (Irish),Derry City (Irish)
Dundalk (Irish),Shamrock Rovers (Irish)
Dundalk (Irish),Sligo Rovers (Irish)
Dundalk (Irish),Bray Wanderers (Irish)
Dundalk (Irish),Sligo Rovers (Irish)
Dundalk (Irish),St Patrick's Athletic (Irish)
Dundalk (Irish),Bohemians (Irish)
Dundalk (Irish),Drogheda United (Irish)
Galway United (Irish),Shamrock Rovers (Irish)
St Patrick's Athletic (Irish),Sligo Rovers (Irish)
St Patrick's Athletic (Irish),Bohemians (Irish)
St Patrick's Athletic (Irish),Shamrock Rovers (Irish)
St Patrick's Athletic (Irish),Sligo Rovers (Irish)
St Patrick's Athletic (Irish),U.C.D. (Irish)
St Patrick's Athletic (Irish),Shelbourne (Irish)
St Patrick's Athletic (Irish),Bohemians (Irish)
St Patrick's Athletic (Irish),Drogheda United (Irish)
St Patrick's Athletic (Irish),Shelbourne (Irish)
St Patrick's Athletic (Irish),Shelbourne (Irish)
Shamrock Rovers (Irish),Sligo Rovers (Irish)
Shamrock Rovers (Irish),Aston Villa (English)
Shamrock Rovers (Irish),Cork City (Irish)
Shamrock Rovers (Irish),St Patrick's Athletic (Irish)
Shamrock Rovers (Irish),St Patrick's Athletic (Irish)
Shamrock Rovers (Irish),Shelbourne (Irish)
Shamrock Rovers (Irish),Bohemians (Irish)
Shamrock Rovers (Irish),Dundalk (Irish)
Sligo Rovers (Irish),St Patrick's Athletic (Irish)
Sligo Rovers (Irish),Dundee United (Scottish)
Sligo Rovers (Irish),Hibernian (Scottish)
Sligo Rovers (Irish),Dundalk (Irish)
Sligo Rovers (Irish),Shamrock Rovers (Irish)
Sligo Rovers (Irish),Shamrock Rovers (Irish)
U.C.D. (Irish),Bray Wanderers (Irish)
Académica (Portuguese),Panathinaikos (Greek)
Académica (Portuguese),Sporting CP (Portuguese)
Académica (Portuguese),Sporting Braga (Portuguese)
Académica (Portuguese),FC Porto (Portuguese)
Académica (Portuguese),Marítimo (Portuguese)
Académica (Portuguese),Sporting CP (Portuguese)
Beira-Mar (Portuguese),Estoril (Portuguese)
Beira-Mar (Portuguese),Aris (Greek)
Beira-Mar (Portuguese),Marítimo (Portuguese)
Beira-Mar (Portuguese),Vitória Setúbal (Portuguese)
Beira-Mar (Portuguese),Orduspor (Turkish)
Beira-Mar (Portuguese),Sporting CP (Portuguese)
Benfica (Portuguese),Trabzonspor (Turkish)
Benfica (Portuguese),Manchester City (English)
Benfica (Portuguese),Granada (Spanish)
Benfica (Portuguese),Toulouse (French)
Benfica (Portuguese),Deportivo La Coruña (Spanish)
Benfica (Portuguese),Zenit St. Petersburg (Russian)
Benfica (Portuguese),Málaga (Spanish)
Benfica (Portuguese),Gil Vicente (Portuguese)
Benfica (Portuguese),Espanyol (Spanish)
Benfica (Portuguese),İstanbul Büyükşehir Belediyespor (Turkish)
Feirense (Portuguese),Benfica (Portuguese)
Feirense (Portuguese),Vitória Setúbal (Portuguese)
Feirense (Portuguese),Vitória Setúbal (Portuguese)
Feirense (Portuguese),Sporting Braga (Portuguese)
Feirense (Portuguese),Videoton (Hungarian)
Feirense (Portuguese),Benfica (Portuguese)
Feirense (Portuguese),Vitória Guimarães (Portuguese)
Gil Vicente (Portuguese),Académica (Portuguese)
Gil Vicente (Portuguese),FC Porto (Portuguese)
Gil Vicente (Portuguese),Sporting Braga (Portuguese)
Gil Vicente (Portuguese),Sporting Braga (Portuguese)
Gil Vicente (Portuguese),Sporting Braga (Portuguese)
Marítimo (Portuguese),Oud-Heverlee Leuven (Belgian)
Marítimo (Portuguese),Lierse (Belgian)
Nacional (Portuguese),Zenit St. Petersburg (Russian)
Nacional (Portuguese),Estoril (Portuguese)
Olhanense (Portuguese),Shakhtar Donetsk (Ukrainian)
Olhanense (Portuguese),Gil Vicente (Portuguese)
Olhanense (Portuguese),Académica (Portuguese)
Olhanense (Portuguese),FC Porto (Portuguese)
Olhanense (Portuguese),Siena (Italian)
Olhanense (Portuguese),Sporting CP (Portuguese)
Olhanense (Portuguese),Panathinaikos (Greek)
Olhanense (Portuguese),Vitória Guimarães (Portuguese)
Olhanense (Portuguese),Nacional (Portuguese)
Paços de Ferreira (Portuguese),Benfica (Portuguese)
Paços de Ferreira (Portuguese),Videoton (Hungarian)
Paços de Ferreira (Portuguese),Benfica (Portuguese)
Paços de Ferreira (Portuguese),Benfica (Portuguese)
Santos (Brazilian),FC Porto (Portuguese)
FC Porto (Portuguese),Internazionale (Italian)
FC Porto (Portuguese),Atlético Madrid (Spanish)
FC Porto (Portuguese),Zenit St. Petersburg (Russian)
FC Porto (Portuguese),Napoli (Italian)
FC Porto (Portuguese),Sporting Braga (Portuguese)
FC Porto (Portuguese),Kasımpaşa (Turkish)
FC Porto (Portuguese),Zaragoza (Spanish)
FC Porto (Portuguese),Trabzonspor (Turkish)
FC Porto (Portuguese),Olhanense (Portuguese)
Rio Ave (Portuguese),FC Porto (Portuguese)
Rio Ave (Portuguese),Videoton (Hungarian)
Rio Ave (Portuguese),Académica (Portuguese)
Rio Ave (Portuguese),FC Porto (Portuguese)
Rio Ave (Portuguese),Kerkyra (Greek)
Rio Ave (Portuguese),Beira-Mar (Portuguese)
Sporting Braga (Portuguese),Anzhi Makhachkala (Russian)
Sporting Braga (Portuguese),Moreirense (Portuguese)
Sporting Braga (Portuguese),Rio Ave (Portuguese)
Sporting Braga (Portuguese),Sporting CP (Portuguese)
Sporting Braga (Portuguese),Benfica (Portuguese)
Sporting Braga (Portuguese),Sampdoria (Italian)
Sporting CP (Portuguese),Rio Ave (Portuguese)
Sporting CP (Portuguese),Reading (English)
Sporting CP (Portuguese),Corinthians (Brazilian)
Sporting CP (Portuguese),Málaga (Spanish)
Sporting CP (Portuguese),Deportivo La Coruña (Spanish)
Sporting CP (Portuguese),FC Porto (Portuguese)
Sporting CP (Portuguese),Fiorentina (Italian)
Sporting CP (Portuguese),Lazio (Italian)
Sporting CP (Portuguese),Deportivo La Coruña (Spanish)
Sporting CP (Portuguese),KAA Gent (Belgian)
Sporting CP (Portuguese),Valencia (Spanish)
Sporting CP (Portuguese),Atlético Madrid (Spanish)
Sporting CP (Portuguese),Kuban Krasnodar (Russian)
São Paulo (Brazilian),Kuban Krasnodar (Russian)
União de Leiria (Portuguese),Nacional (Portuguese)
União de Leiria (Portuguese),Sporting Braga (Portuguese)
União de Leiria (Portuguese),IFK Göteborg (Swedish)
União de Leiria (Portuguese),Marítimo (Portuguese)
União de Leiria (Portuguese),Figueirense (Brazilian)
União de Leiria (Portuguese),Olhanense (Portuguese)
União de Leiria (Portuguese),Paços de Ferreira (Portuguese)
União de Leiria (Portuguese),Académica (Portuguese)
União de Leiria (Portuguese),Académica (Portuguese)
União de Leiria (Portuguese),Nacional (Portuguese)
União de Leiria (Portuguese),Académica (Portuguese)
União de Leiria (Portuguese),Rio Ave (Portuguese)
União de Leiria (Portuguese),Újpest (Hungarian)
Vitória Guimarães (Portuguese),Krylia Sovetov (Russian)
Vitória Guimarães (Portuguese),Benfica (Portuguese)
Vitória Guimarães (Portuguese),Chornomorets Odessa (Ukrainian)
Vitória Setúbal (Portuguese),Moreirense (Portuguese)
Vitória Setúbal (Portuguese),Estoril (Portuguese)
Vitória Setúbal (Portuguese),Olhanense (Portuguese)
Vitória Setúbal (Portuguese),Olhanense (Portuguese)
Arsenal Kiev (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Arsenal Kiev (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Arsenal Kiev (Ukrainian),Chornomorets Odessa (Ukrainian)
Arsenal Kiev (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Arsenal Kiev (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Arsenal Kiev (Ukrainian),Chornomorets Odessa (Ukrainian)
Arsenal Kiev (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Arsenal Kiev (Ukrainian),Tavriya Simferopol (Ukrainian)
Arsenal Kiev (Ukrainian),Metalurh Donetsk (Ukrainian)
Arsenal Kiev (Ukrainian),Kuban Krasnodar (Russian)
Chornomorets Odessa (Ukrainian),Polonia Warszawa (Polish)
Chornomorets Odessa (Ukrainian),Olhanense (Portuguese)
Chornomorets Odessa (Ukrainian),Asteras Tripolis (Greek)
Dnipro Dnipropetrovsk (Ukrainian),Bastia (French)
Dnipro Dnipropetrovsk (Ukrainian),Lokomotiv Moscow (Russian)
Dnipro Dnipropetrovsk (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Shakhtar Donetsk (Ukrainian)
Dynamo Kiev (Ukrainian),Évian Thonon Gaillard (French)
Dynamo Kiev (Ukrainian),Spartak Moscow (Russian)
Dynamo Kiev (Ukrainian),West Bromwich Albion (English)
Dynamo Kiev (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Dynamo Kiev (Ukrainian),Évian Thonon Gaillard (French)
Dynamo Kiev (Ukrainian),Orduspor (Turkish)
Dynamo Kiev (Ukrainian),Palmeiras (Brazilian)
Illichivets Mariupol (Ukrainian),Shakhtar Donetsk (Ukrainian)
Illichivets Mariupol (Ukrainian),Zorya Luhansk (Ukrainian)
Illichivets Mariupol (Ukrainian),Shakhtar Donetsk (Ukrainian)
Karpaty Lviv (Ukrainian),Győr (Hungarian)
Karpaty Lviv (Ukrainian),Arsenal Kiev (Ukrainian)
Karpaty Lviv (Ukrainian),Arsenal Kiev (Ukrainian)
Karpaty Lviv (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Karpaty Lviv (Ukrainian),Dynamo Kiev (Ukrainian)
Karpaty Lviv (Ukrainian),Cagliari (Italian)
Kryvbas Kryvyi Rih (Ukrainian),Hoverla Uzhhorod (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Tavriya Simferopol (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Vorskla Poltava (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Hoverla Uzhhorod (Ukrainian)
Kryvbas Kryvyi Rih (Ukrainian),Dynamo Kiev (Ukrainian)
Metalist Kharkiv (Ukrainian),Volyn Lutsk (Ukrainian)
Metalist Kharkiv (Ukrainian),Arsenal Kiev (Ukrainian)
Metalist Kharkiv (Ukrainian),Arsenal Kiev (Ukrainian)
São Paulo (Brazilian),Metalist Kharkiv (Ukrainian)
Metalist Kharkiv (Ukrainian),Volga Nizhny Novgorod (Russian)
Metalist Kharkiv (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Metalist Kharkiv (Ukrainian),Shakhtar Donetsk (Ukrainian)
Metalurh Donetsk (Ukrainian),Vorskla Poltava (Ukrainian)
Metalurh Donetsk (Ukrainian),Hoverla Uzhhorod (Ukrainian)
Obolon Kiev (Ukrainian),Vorskla Poltava (Ukrainian)
Obolon Kiev (Ukrainian),Illichivets Mariupol (Ukrainian)
Obolon Kiev (Ukrainian),Legia Warszawa (Polish)
Obolon Kiev (Ukrainian),Arsenal Kiev (Ukrainian)
Obolon Kiev (Ukrainian),Karpaty Lviv (Ukrainian)
Oleksandria (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Oleksandria (Ukrainian),Arsenal Kiev (Ukrainian)
Oleksandria (Ukrainian),Illichivets Mariupol (Ukrainian)
Oleksandria (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Oleksandria (Ukrainian),Kryvbas Kryvyi Rih (Ukrainian)
Oleksandria (Ukrainian),Hoverla Uzhhorod (Ukrainian)
Oleksandria (Ukrainian),Arsenal Kiev (Ukrainian)
Oleksandria (Ukrainian),Arsenal Kiev (Ukrainian)
Oleksandria (Ukrainian),Zorya Luhansk (Ukrainian)
Oleksandria (Ukrainian),Metalurh Donetsk (Ukrainian)
Internacional (Brazilian),Shakhtar Donetsk (Ukrainian)
Shakhtar Donetsk (Ukrainian),Anzhi Makhachkala (Russian)
Shakhtar Donetsk (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Shakhtar Donetsk (Ukrainian),Metalist Kharkiv (Ukrainian)
Shakhtar Donetsk (Ukrainian),Beşiktaş (Turkish)
Shakhtar Donetsk (Ukrainian),Illichivets Mariupol (Ukrainian)
Shakhtar Donetsk (Ukrainian),Illichivets Mariupol (Ukrainian)
Tavriya Simferopol (Ukrainian),Kuban Krasnodar (Russian)
Tavriya Simferopol (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Tavriya Simferopol (Ukrainian),Kuban Krasnodar (Russian)
Volyn Lutsk (Ukrainian),Arsenal Kiev (Ukrainian)
Volyn Lutsk (Ukrainian),Arsenal Kiev (Ukrainian)
Volyn Lutsk (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Volyn Lutsk (Ukrainian),Shakhtar Donetsk (Ukrainian)
Volyn Lutsk (Ukrainian),Arsenal Kiev (Ukrainian)
Vorskla Poltava (Ukrainian),Metalist Kharkiv (Ukrainian)
Vorskla Poltava (Ukrainian),Dynamo Kiev (Ukrainian)
Vorskla Poltava (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Vorskla Poltava (Ukrainian),Dynamo Kiev (Ukrainian)
Vorskla Poltava (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Zorya Luhansk (Ukrainian),Chornomorets Odessa (Ukrainian)
Zorya Luhansk (Ukrainian),Metalurh Zaporizhya (Ukrainian)
Zorya Luhansk (Ukrainian),Vorskla Poltava (Ukrainian)
Adelaide United (Australian),Dalian Aerbin (Chinese)
Adelaide United (Australian),Melbourne Victory (Australian)
Adelaide United (Australian),Newcastle United Jets (Australian)
Adelaide United (Australian),Melbourne Victory (Australian)
Adelaide United (Australian),Newcastle United Jets (Australian)
Brisbane Roar (Australian),Western Sydney Wanderers (Australian)
Brisbane Roar (Australian),Melbourne Heart (Australian)
Brisbane Roar (Australian),Central Coast Mariners (Australian)
Central Coast Mariners (Australian),Celtic (Scottish)
Central Coast Mariners (Australian),Heart of Midlothian (Scottish)
Central Coast Mariners (Australian),Melbourne Victory (Australian)
Central Coast Mariners (Australian),Borussia Dortmund (German)
Gold Coast United (Australian),Wellington Phoenix (Australian)
Gold Coast United (Australian),Newcastle United Jets (Australian)
Gold Coast United (Australian),Perth Glory (Australian)
Gold Coast United (Australian),Central Coast Mariners (Australian)
Gold Coast United (Australian),Melbourne Heart (Australian)
Gold Coast United (Australian),Western Sydney Wanderers (Australian)
Gold Coast United (Australian),Adelaide United (Australian)
Gold Coast United (Australian),Melbourne Heart (Australian)
Gold Coast United (Australian),Brisbane Roar (Australian)
Gold Coast United (Australian),Melbourne Victory (Australian)
Gold Coast United (Australian),Perth Glory (Australian)
Gold Coast United (Australian),Newcastle United Jets (Australian)
Gold Coast United (Australian),Western Sydney Wanderers (Australian)
Gold Coast United (Australian),RKC Waalwijk (Dutch)
Gold Coast United (Australian),Heart of Midlothian (Scottish)
Gold Coast United (Australian),Adelaide United (Australian)
Gold Coast United (Australian),Newcastle United Jets (Australian)
Melbourne Heart (Australian),Bursaspor (Turkish)
Melbourne Heart (Australian),Newcastle United (English)
Melbourne Heart (Australian),Perth Glory (Australian)
Melbourne Heart (Australian),Sydney FC (Australian)
Melbourne Heart (Australian),Newcastle United Jets (Australian)
Melbourne Victory (Australian),Sydney FC (Australian)
Melbourne Victory (Australian),Wellington Phoenix (Australian)
Melbourne Victory (Australian),Western Sydney Wanderers (Australian)
Melbourne Victory (Australian),Melbourne Heart (Australian)
Melbourne Victory (Australian),Brisbane Roar (Australian)
Newcastle United Jets (Australian),Western Sydney Wanderers (Australian)
Newcastle United Jets (Australian),Sydney FC (Australian)
Newcastle United Jets (Australian),Wellington Phoenix (Australian)
Newcastle United Jets (Australian),Western Sydney Wanderers (Australian)
Newcastle United Jets (Australian),Western Sydney Wanderers (Australian)
Newcastle United Jets (Australian),Sydney FC (Australian)
Newcastle United Jets (Australian),Sydney FC (Australian)
Perth Glory (Australian),Newcastle United Jets (Australian)
Perth Glory (Australian),Newcastle United Jets (Australian)
Perth Glory (Australian),Melbourne Victory (Australian)
Perth Glory (Australian),Newcastle United Jets (Australian)
Perth Glory (Australian),Sydney FC (Australian)
Perth Glory (Australian),Melbourne Heart (Australian)
Sydney FC (Australian),Melbourne Heart (Australian)
Sydney FC (Australian),Western Sydney Wanderers (Australian)
Sydney FC (Australian),Western Sydney Wanderers (Australian)
Sydney FC (Australian),Western Sydney Wanderers (Australian)
Sydney FC (Australian),Perth Glory (Australian)
Wellington Phoenix (Australian),Central Coast Mariners (Australian)
Wellington Phoenix (Australian),Perth Glory (Australian)
Arsenal (English),Celta Vigo (Spanish)
Arsenal (English),Manchester United (English)
Arsenal (English),Barcelona (Spanish)
Arsenal (English),Hannover 96 (German)
Arsenal (English),West Ham United (English)
Arsenal (English),Chelsea (English)
Arsenal (English),Sandnes Ulf (Norwegian)
Arsenal (English),Beşiktaş (Turkish)
Aston Villa (English),Mallorca (Spanish)
Aston Villa (English),West Ham United (English)
Aston Villa (English),Queens Park Rangers (English)
Aston Villa (English),Newcastle United Jets (Australian)
Aston Villa (English),Sunderland (English)
Blackburn Rovers (English),Bastia (French)
Blackburn Rovers (English),Palermo (Italian)
Blackburn Rovers (English),Norwich City (English)
Blackburn Rovers (English),Gençlerbirliği (Turkish)
Blackburn Rovers (English),Stoke City (English)
Blackburn Rovers (English),Zaragoza (Spanish)
Blackburn Rovers (English),Reading (English)
Blackburn Rovers (English),Queens Park Rangers (English)
Blackburn Rovers (English),Guangzhou R&F (Chinese)
Blackburn Rovers (English),Karpaty Lviv (Ukrainian)
Bolton Wanderers (English),Kayserispor (Turkish)
Bolton Wanderers (English),Bursaspor (Turkish)
Bolton Wanderers (English),Espanyol (Spanish)
Bolton Wanderers (English),FSV Mainz 05 (German)
Bolton Wanderers (English),West Ham United (English)
Bolton Wanderers (English),Manchester City (English)
Bolton Wanderers (English),Wigan Athletic (English)
Bolton Wanderers (English),Rio Ave (Portuguese)
Chelsea (English),Real Madrid (Spanish)
Chelsea (English),Shanghai Shenhua (Chinese)
Chelsea (English),Galatasaray (Turkish)
Chelsea (English),Fenerbahçe (Turkish)
Chelsea (English),Queens Park Rangers (English)
Chelsea (English),West Bromwich Albion (English)
Chelsea (English),Lille (French)
Chelsea (English),Liverpool (English)
Chelsea (English),Málaga (Spanish)
Everton (English),Alania Vladikavkaz (Russian)
Everton (English),San Lorenzo (Argentinian)
Everton (English),Seattle Sounders (USA)
Everton (English),Motherwell (Scottish)
Everton (English),New York Red Bulls (USA)
Everton (English),Brest (French)
Everton (English),Manchester City (English)
Fulham (English),Reading (English)
Fulham (English),Reading (English)
Fulham (English),Queens Park Rangers (English)
Fulham (English),Lillestrøm (Norwegian)
Fulham (English),Tottenham Hotspur (English)
Fulham (English),Tottenham Hotspur (English)
Fulham (English),Académica (Portuguese)
Liverpool (English),Grêmio (Brazilian)
Liverpool (English),West Ham United (English)
