,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
3,3,Philip McGuire,D,"6'00""",10 12,04-03-80,Glasgow,Dunfermline Ath,Inverness Caledonian Thistle,2007,Scottish
4,4,Steven  Watt,D,"6'02""",12  09,01-05-85,Aberdeen,Swansea C,Inverness Caledonian Thistle,2007,Scottish
6,6,Roy McBain,M,"5'11""",11 05,07-11-74,Aberdeen,Ross Co,Inverness Caledonian Thistle,2007,Scottish
7,7,Barry Wilson,M,"5'11""",12 04,16-02-72,Kirkcaldy,Livingston,Inverness Caledonian Thistle,2007,Scottish
8,8,Ian Black,M,"5'08""",09  12,14-03-85,Edinburgh,Blackburn R,Inverness Caledonian Thistle,2007,Scottish
9,9,Graham Bayne,F,"6'01""",12  07,22-08-79,Kirkcaldy,Ross Co,Inverness Caledonian Thistle,2007,Scottish
10,10,Richie Hart,M,"5'10""",12  02,30-03-78,Inverness,Brora Rangers,Inverness Caledonian Thistle,2007,Scottish
11,11,Dougie Imrie,F,"5'10""",11 10,03-08-83,Lanark,Clyde,Inverness Caledonian Thistle,2007,Scottish
12,12,Russell Duncan,D,"5'09""",11 01,15-09-80,Aberdeen,Forfar Ath,Inverness Caledonian Thistle,2007,Scottish
13,13,Rory  McAllister,F,"6'01""",12 07,13-05-87,Aberdeen,Aberdeen,Inverness Caledonian Thistle,2007,Scottish
14,14,Grant Munro,D,"6'00""",12 07,15-09-80,Inverness,None,Inverness Caledonian Thistle,2007,Scottish
15,15,Don Cowie,M,"5'05""",08 05,15-02-83,Inverness,Ross Co,Inverness Caledonian Thistle,2007,Scottish
16,16,Richard Hastings,D,"6'02""",11 07,18-05-87,Price George,MVV Maastricht,Inverness Caledonian Thistle,2007,Scottish
18,18,Marius Niculae,F,6'01'',12  08,16-05-81,Bucharest,Mainz,Inverness Caledonian Thistle,2007,Scottish
19,19,Dennis Wyness,F,"5'10""",11  04,22-03-77,Aberdeen,Hearts,Inverness Caledonian Thistle,2007,Scottish
20,20,Markus Paatelainen,M,"6'01""",12 08,23-01-83,Valkeaskoski,Cowdenbeath,Inverness Caledonian Thistle,2007,Scottish
21,21,Dean McDonald,F,"5'07""",10  12,19-02-86,Lambeth,Gillingham,Inverness Caledonian Thistle,2007,Scottish
22,22,Garry Wood,M,"6'02""",13 02,27-01-88,,None,Inverness Caledonian Thistle,2007,Scottish
25,25,Alexander MacDonald,F,"5'11""",11 08,07-08-88,,None,Inverness Caledonian Thistle,2007,Scottish
26,26,Guy Kerr,M,"6'02""",12 04,03-04-88,Edinburgh,None,Inverness Caledonian Thistle,2007,Scottish
27,27,Iain Vigurs,M,"5'06""",10 02,07-05-88,Aberdeen,None,Inverness Caledonian Thistle,2007,Scottish
28,28,Craig Brewster,F,"6'01""",12 09,13-12-66,Dundee,Aberdeen,Inverness Caledonian Thistle,2007,Scottish
29,29,David Proctor,D,"6'00""",11 02,04-05-84,Bellshill,Dundee U,Inverness Caledonian Thistle,2007,Scottish
30,30,Zbigniew Małkowski,G,"6'02""",12 06,19-01-78,Olsztyn,Hibernian,Inverness Caledonian Thistle,2007,Scottish
32,32,Colin Williamson,D,"5'11""",09 07,19-05-90,Inverness,None,Inverness Caledonian Thistle,2007,Scottish
33,33,Stuart Leslie,M,"5'11""",11 00,09-07-90,Inverness,None,Inverness Caledonian Thistle,2007,Scottish
34,34,Struan Scott-Woodhouse,D,"5'11""",11 01,01-03-90,Loch Luichart,None,Inverness Caledonian Thistle,2007,Scottish
36,36,Samuel Ward,M,"5'10""",09 08,29-03-90,Aberdeen,None,Inverness Caledonian Thistle,2007,Scottish
37,37,Jamie Cromar,M,"5'11""",11 03,04-04-90,Paisley,Dyce BC,Inverness Caledonian Thistle,2007,Scottish
38,38,Connor Rennie,M,"5'10""",11 00,01-04-91,Aberdeen,None,Inverness Caledonian Thistle,2007,Scottish
39,39,Martin Jack,F,"6'00""",12 07,07-02-89,Bangour,Elgin C,Inverness Caledonian Thistle,2007,Scottish
41,41,Dale Gillespie,F,"6'00""",12 00,19-06-89,Inverness,None,Inverness Caledonian Thistle,2007,Scottish
42,42,Jamie Duff,M,"6'02""",12 06,26-01-89,Inverness,None,Inverness Caledonian Thistle,2007,Scottish
43,43,Ian Penwright,F,"5'07""",09 08,29-03-89,Inverness,None,Inverness Caledonian Thistle,2007,Scottish
44,44,Gavin Morrison,M,"5'10""",10 09,03-01-90,Inverness,None,Inverness Caledonian Thistle,2007,Scottish
45,47,Andrew Watt,G,"6'02""",13 07,04-11-90,Aberdeen,Albion BC,Inverness Caledonian Thistle,2007,Scottish
1,1,Alan Combe,G,"6'01""",12 02,30-04-74,Edinburgh,Bradford C,Kilmarnock,2007,Scottish
2,2,James Fowler,D,"5'09""",10 10,26-10-80,Glasgow,Gairdoch BC,Kilmarnock,2007,Scottish
3,3,Gary Hay,D,"5'07""",10 00,07-09-77,Irvine,Kilmarnock BC,Kilmarnock,2007,Scottish
4,4,David Lilley,D,"6'01""",11 00,31-10-77,Bellshill,Partick Th,Kilmarnock,2007,Scottish
5,5,Fraser Wright,D,"5'10""",11  10,23-12-79,East Kilbride,Stranraer,Kilmarnock,2007,Scottish
6,6,Simon Ford,D,"6'01""",12 04,17-11-81,Newham,Redbridge,Kilmarnock,2007,Scottish
8,8,Gary Locke,M,"5'10""",11 08,16-06-75,Edinburgh,Bradford  C,Kilmarnock,2007,Scottish
10,10,Gary Wales,F,"5'10""",11 00,04-01-79,East Kilbride,Gillingham,Kilmarnock,2007,Scottish
11,11,Danny Invincible,F,"6'00""",12  02,31-03-79,Brisbane,Swindon T,Kilmarnock,2007,Scottish
12,12,Allan Johnston,M,"5'11""",11 00,14-12-73,Glasgow,Middlesbrough,Kilmarnock,2007,Scottish
13,13,Chad Harpur,G,"5'10""",12  11,03-09-82,Johannesburg,Tembisa Classic,Kilmarnock,2007,Scottish
14,14,Alan Morgan,M,"6'00""",12 06,27-11-83,Edinburgh,Inverness CT,Kilmarnock,2007,Scottish
15,15,Grant  Murray,D,"5'10""",12 00,29-08-75,Edinburgh,Partick Th,Kilmarnock,2007,Scottish
16,16,Rhian Dodds,M,"5'10""",11  09,03-10-79,Irvine,Robert Morris Univ,Kilmarnock,2007,Scottish
17,17,Willie Gibson,M,"5'11""",10 06,06-08-84,Dumfries,Queen of the South,Kilmarnock,2007,Scottish
18,18,Paul Di Giacomo,F,"6'01""",11 04,30-06-82,Glasgow,None,Kilmarnock,2007,Scottish
19,19,Paul Dalglish,F,"5'09""",10  10,18-02-77,Glasgow,Houston Dynamo,Kilmarnock,2007,Scottish
20,20,David  Fernández,F,5'09'',11 06,20-01-76,Corvina,Dundee  U,Kilmarnock,2007,Scottish
21,21,Ryan O'Leary,D,"6'00""",11  11,24-08-87,Glasgow,Aberdeen,Kilmarnock,2007,Scottish
23,23,Jamie Hamill,D,"5'08""",11  01,29-07-86,Irvine,None,Kilmarnock,2007,Scottish
24,24,Craig Bryson,M,"5'07""",09 06,06-11-86,Rutherglen,Clyde,Kilmarnock,2007,Scottish
25,25,Jamie Adams,M,"6'01""",11  07,26-08-87,Stranraer,None,Kilmarnock,2007,Scottish
26,26,Cameron Bell,G,"5'11""",13  04,18-09-86,Dumfries,Queen of the South,Kilmarnock,2007,Scottish
27,27,Tim Clancy,D,"5'11""",11 01,08-06-84,Trim,Fisher Ath,Kilmarnock,2007,Scottish
29,29,Iain Flannigan,D,"5'11""",10  12,15-01-88,Glasgow,None,Kilmarnock,2007,Scottish
30,30,Martyn Corrigan,D,"5'09""",10 09,14-08-77,Glasgow,Motherwell,Kilmarnock,2007,Scottish
32,32,Peter  Logan,G,"5'10""",11  07,25-11-88,Irvine,None,Kilmarnock,2007,Scottish
34,34,Mehdi Taouil,M,"5'08""",11 07,20-05-83,Villeneuve St Georges,Montpellier,Kilmarnock,2007,Scottish
36,36,Damien Rascle,G,"6'02""",14 02,05-08-80,Le Coteau,Albi,Kilmarnock,2007,Scottish
40,40,David Cox,F,"5'06""",09  04,17-03-89,Lanark,None,Kilmarnock,2007,Scottish
41,42,Sean McGhee,D,,10  06,08-05-89,,None,Kilmarnock,2007,Scottish
42,43,Stephen Campbell,F,,,08-04-89,,None,Kilmarnock,2007,Scottish
43,44,Thomas Nolan,M,,12  02,,,None,Kilmarnock,2007,Scottish
44,45,Kyle Wright,D,,10  01,,,None,Kilmarnock,2007,Scottish
45,46,Niall Blair,M,,10  10,30-01-89,,None,Kilmarnock,2007,Scottish
46,47,Paul McInnes,M,,,,Saltcoats,None,Kilmarnock,2007,Scottish
47,48,Scott Anson,D,"6'01""",10  07,29-04-89,Glasgow,Hamilton Academical,Kilmarnock,2007,Scottish
48,49,Chris Gilmour,M,,,,,None,Kilmarnock,2007,Scottish
49,50,Gavin Brown,M,,,,,None,Kilmarnock,2007,Scottish
50,51,Daniel McKay,F,,,,,None,Kilmarnock,2007,Scottish
1,1,Graeme  Smith,G,"6'01""",12  05,08-06-83,Edinburgh,Rangers,Motherwell,2007,Scottish
3,3,Steven Hammell,M,"5'09""",11 03,18-02-81,Glasgow,Southend U,Motherwell,2007,Scottish
4,4,Mark Reynolds,D,"5'11""",10  09,07-05-87,Motherwell,None,Motherwell,2007,Scottish
5,5,Stephen Craigan,D,6'00'',11  00,21-10-76,Newtonards,Partick Thistle,Motherwell,2007,Scottish
6,6,Brian  McLean,D,"6'02""",12  03,28-02-85,Rutherglen,Rangers,Motherwell,2007,Scottish
7,7,Stephen Hughes,M,"5'11""",09 06,14-11-82,Motherwell,Leicester C,Motherwell,2007,Scottish
8,8,Simon Lappin,M,"5'11""",09 06,25-01-83,Glasgow,Norwich C,Motherwell,2007,Scottish
9,9,Chris  Porter,F,6'01'',13  02,12-12-83,Wigan,Oldham Ath,Motherwell,2007,Scottish
11,11,Ross  McCormack,F,"5'09""",11  10,18-08-86,Glasgow,Rangers,Motherwell,2007,Scottish
12,12,David Clarkson,F,5'10'',09  13,10-09-85,Bellshill,None,Motherwell,2007,Scottish
14,14,Keith Lasley,M,"5'08""",10  07,21-09-79,Glasgow,Plymouth Arg,Motherwell,2007,Scottish
15,15,Luke Daniels,G,"6'01""",12 10,05-01-88,,WBA,Motherwell,2007,Scottish
16,16,Marc  Fitzpatrick,D,5'10'',10  09,11-05-86,Lanark,Motherwell YC,Motherwell,2007,Scottish
17,17,Robert Malcolm,D,"5'11""",12 02,12-11-80,Glasgow,Derby Co,Motherwell,2007,Scottish
18,18,Steven McGarry,F,"5'09""",11  00,29-09-79,Paisley,Ross Co,Motherwell,2007,Scottish
20,20,Colin Meldrum,G,"5'10""",13 04,26-11-75,Kilmarnock,Forfar Ath,Motherwell,2007,Scottish
22,22,Paul Quinn,D,6'00'',10  10,21-07-85,Wishaw,None,Motherwell,2007,Scottish
23,23,Darren Smith,F,"6'00""",11  07,27-03-88,Lanark,None,Motherwell,2007,Scottish
24,24,Martin Grehan,F,"6'01""",12 01,09-10-84,,Dundonald Bluebell,Motherwell,2007,Scottish
25,25,Lewis Marr,D,"6'02""",12 04,05-01-89,Bishop Auckland,Newcastle U,Motherwell,2007,Scottish
26,26,Kenny Connolly,M,"5'10""",10  07,18-04-87,Glasgow,None,Motherwell,2007,Scottish
27,27,Stephen Maguire,M,"5'07""",09  08,14-02-87,Motherwell,None,Motherwell,2007,Scottish
28,28,David Nixon,D,"6'01""",12  09,09-07-88,Paisley,None,Motherwell,2007,Scottish
29,29,Ross Forbes,M,"6'00""",10  06,03-03-89,Glasgow,None,Motherwell,2007,Scottish
31,31,Cammy Murray,D,"6'00""",10  00,29-04-89,Bellshill,None,Motherwell,2007,Scottish
32,32,Jamie Murphy,F,"5'10""",09  10,28-08-89,Glasgow,None,Motherwell,2007,Scottish
33,33,Mark Archdeacon,F,"6'01""",11 11,09-10-89,Greenock,None,Motherwell,2007,Scottish
34,34,Owen Jones,G,"6'02""",12 09,17-04-89,Birmingham,Celtic,Motherwell,2007,Scottish
35,35,Gary Fallon,D,"6'01""",13 03,20-01-89,Bellshill,None,Motherwell,2007,Scottish
36,36,Craig Gupwell,D,"6'03""",13 00,14-03-89,Bellshill,None,Motherwell,2007,Scottish
37,37,Ryan Wilson,D,"6'00""",11 00,21-10-89,Glasgow,None,Motherwell,2007,Scottish
38,38,Paul Slane,F,,,25-11-91,,None,Motherwell,2007,Scottish
39,39,Steven  Coutts,G,"6'00""",12 01,22-05-90,Aberdeen,Rangers,Motherwell,2007,Scottish
40,40,Peter Innes,M,"5'07""",10 04,26-04-91,Bellshill,None,Motherwell,2007,Scottish
41,41,Ryan Martin,F,"5'09""",10 03,15-02-91,Paisley,None,Motherwell,2007,Scottish
42,42,Steven Meechen,M,"5'11""",11 08,30-03-91,Glasgow,None,Motherwell,2007,Scottish
43,43,David McAuliffe,D,"6'02""",12 05,20-06-91,Rutherglen,None,Motherwell,2007,Scottish
44,44,Robert McHugh,F,,,16-07-91,,None,Motherwell,2007,Scottish
45,45,Liam McLean,F,"5'09""",12 05,18-04-90,Glasgow,None,Motherwell,2007,Scottish
46,46,Patrick McPake,M,"5'10""",10 03,04-01-90,Bellshill,None,Motherwell,2007,Scottish
47,47,Stephen Wishart,D,"6'03""",10 08,27-08-90,Lanark,None,Motherwell,2007,Scottish
48,48,Shaun Hutchinson,M,"6'01""",12 03,23-11-90,Newcastle upon Tyne,None,Motherwell,2007,Scottish
1,1,Allan McGregor,G,6'00'',11  09,31-01-82,Edinburgh,None,Rangers,2007,Scottish
3,3,David Weir,D,"6'02""",13 07,10-05-70,Falkirk,Everton,Rangers,2007,Scottish
4,4,Thomas Buffel,M,"5'09""",10  10,19-02-81,Ruddervoorde,Feyenoord,Rangers,2007,Scottish
5,5,Saa Papac,D,"6'01""",12 04,07-02-80,Mostar,Austria Vienna,Rangers,2007,Scottish
6,6,Barry  Ferguson,M,"5'11""",11  09,02-02-78,Glasgow,Blackburn  R,Rangers,2007,Scottish
7,7,Brahim Hemdani,M,"5'10""",11 00,15-03-78,Colombes,Marseille,Rangers,2007,Scottish
8,8,Kevin Thomson,M,"5'11""",11  04,14-10-84,Edinburgh,Hibernian,Rangers,2007,Scottish
9,9,Kris Boyd,F,"6'01""",13 00,18-08-83,Irvine,Kilmarnock,Rangers,2007,Scottish
10,10,Nacho Novo,F,"5'09""",11  00,26-03-79,Ferrol,Dundee,Rangers,2007,Scottish
11,11,Charlie  Adam,M,"6'01""",13  00,10-12-85,Dundee,None,Rangers,2007,Scottish
12,12,Steven  Davis,M,"5'07""",09  07,01-01-85,Ballymena,Fulham,Rangers,2007,Scottish
14,14,Amdy  Faye,M,"6'00""",12  03,12-03-77,Dakar,Charlton Ath,Rangers,2007,Scottish
15,15,Alan Gow,M,"6'00""",12 00,09-10-82,Glasgow,Falkirk,Rangers,2007,Scottish
16,16,Graeme Smith,G,6'02'',12  08,03-10-82,Bellshill,Kilmarnock,Rangers,2007,Scottish
17,17,Chris  Burke,M,"5'09""",10  10,02-12-83,Glasgow,None,Rangers,2007,Scottish
18,18,Steven Naismith,F,"5'09""",11  05,14-09-86,Irvine,Kilmarnock,Rangers,2007,Scottish
19,19,Jean-Claude Darcheville,F,"5'07""",12 03,25-07-75,Sinnamary,Bordeaux,Rangers,2007,Scottish
20,20,DaMarcus Beasley,M,5'07'',09 00,24-05-82,Fort Wayne,PSV Eindhoven,Rangers,2007,Scottish
21,21,Kirk Broadfoot,D,"6'03""",14 00,08-08-84,Irvine,St Mirren,Rangers,2007,Scottish
22,22,Andy Webster,D,"6'00""",10 00,23-04-82,Dundee,Wigan Ath,Rangers,2007,Scottish
23,23,Christian Dailly,D,"6'00""",12 05,23-10-73,Dundee,West Ham U,Rangers,2007,Scottish
24,24,Carlos  Javier Cuéllar,D,6'03'',13  03,23-08-81,Madrid,Osasuna,Rangers,2007,Scottish
25,25,Neil Alexander,G,"6'01""",11 07,10-03-78,Edinburgh,Ipswich T,Rangers,2007,Scottish
26,26,Steven  Smith,D,"5'10""",10  13,30-08-85,Bellshill,None,Rangers,2007,Scottish
27,27,Lee McCulloch,F,"5'11""",12 05,14-05-76,Paisley,Wigan Ath,Rangers,2007,Scottish
28,28,Steven Whittaker,D,"6'01""",13 09,16-06-84,Ediburgh,Hibernian,Rangers,2007,Scottish
29,29,Daniel Cousin,F,"6'01""",12 12,07-02-77,Libreville,Lens,Rangers,2007,Scottish
31,31,Calum  Reidford,G,"5'11""",12  04,26-05-87,Glasgow,None,Rangers,2007,Scottish
32,32,Alan  Lowing,D,"5'10""",10  09,07-01-88,Rutherglen,None,Rangers,2007,Scottish
33,33,Steven  Lennon,M,"5'07""",09  07,20-01-88,Irvine,None,Rangers,2007,Scottish
34,34,Paul  Emslie,M,"5'10""",10  10,13-03-88,Aberdeen,None,Rangers,2007,Scottish
35,35,Rory  Loy,F,"5'10""",10  07,19-03-88,Dumfries,Kilmarnock,Rangers,2007,Scottish
36,36,Dean  Furman,M,,,22-06-88,Cape Town,Chelsea,Rangers,2007,Scottish
37,37,Jordan  McMillan,D,"5'10""",09  12,16-10-88,Glasgow,None,Rangers,2007,Scottish
41,41,Chris  Smith,D,,,31-08-88,,None,Rangers,2007,Scottish
42,42,Andrew  Shinnie,D,"5'11""",11  00,17-07-89,Aberdeen,None,Rangers,2007,Scottish
43,43,John  Fleck,F,,,24-08-91,,None,Rangers,2007,Scottish
44,44,Giorgos Efrem,M,"5'07""",10 03,05-07-89,Limassol,Arsenal,Rangers,2007,Scottish
45,45,Ross Perry,D,,,07-02-90,,None,Rangers,2007,Scottish
46,46,William  McLachlan,M,"5'09""",11  03,19-03-89,Rutherglen,None,Rangers,2007,Scottish
47,47,Ross  Harvey,D,,,13-04-89,,None,Rangers,2007,Scottish
48,48,Chris  Craig,F,,,13-05-89,,None,Rangers,2007,Scottish
49,49,Steven  Kinniburgh,M,,,13-06-89,,None,Rangers,2007,Scottish
50,50,Michael  Donald,D,,,20-01-89,,None,Rangers,2007,Scottish
51,51,Andrew Little,F,,,12-05-89,,None,Rangers,2007,Scottish
52,52,Jeroen Van Den Broeck,M,,,16-02-89,,Verbroedering Geel,Rangers,2007,Scottish
53,53,Stephen Stirling,M,,,05-01-90,,None,Rangers,2007,Scottish
54,54,Nicholas Gallagher,D,,,24-01-90,,None,Rangers,2007,Scottish
55,55,Alistair Park,M,,,11-01-90,,None,Rangers,2007,Scottish
56,56,Craig McShea,F,,,04-11-90,,None,Rangers,2007,Scottish
57,58,Scott Gallacher,G,"6'02""",12 01,15-07-89,Bellshill,None,Rangers,2007,Scottish
58,59,Archie Campbell,F,,,10-01-91,,None,Rangers,2007,Scottish
59,60,Kyle Hutton,D,,,05-02-91,,None,Rangers,2007,Scottish
60,61,Stephen Forbes,D,,,,,None,Rangers,2007,Scottish
61,63,Jamie Ness,M,,,02-03-91,,None,Rangers,2007,Scottish
62,65,Gregg Wylde,M,,,23-03-91,,None,Rangers,2007,Scottish
63,69,Grant Adam,G,,,16-04-91,,None,Rangers,2007,Scottish
64,70,Mark Weir,G,,,,,None,Rangers,2007,Scottish
1,1,Chris Smith,G,"6'03""",13 01,05-03-86,Glasgow,None,St Mirren,2007,Scottish
2,2,David van Zanten,D,"5'10""",11 00,08-05-82,Dublin,Celtic,St Mirren,2007,Scottish
3,3,Alan Reid,F,"5'08""",10 00,21-10-80,Paisley,Hibernian,St Mirren,2007,Scottish
4,4,Gary Mason,M,"5'08""",10 01,15-10-79,Edinburgh,Dunfermline Ath,St Mirren,2007,Scottish
5,5,Will Haining,D,"5'11""",11 00,02-10-82,Glasgow,Oldham Ath,St Mirren,2007,Scottish
6,6,John Potter,D,"6'01""",13 00,15-12-79,Dunfermline,Clyde,St Mirren,2007,Scottish
7,7,Hugh Murray,M,"5'10""",10 07,08-01-79,Bellshill,None,St Mirren,2007,Scottish
8,8,Andy Dorman,M,"6'00""",10 10,01-05-82,Chester,New England Revolution,St Mirren,2007,Scottish
9,9,Billy Mehmet,F,"6'01""",12 13,03-01-84,London,Dunfermline Ath,St Mirren,2007,Scottish
10,10,Stewart Kean,M,"5'09""",10 00,04-03-83,Irvine,Ayr United,St Mirren,2007,Scottish
11,11,Alex Burke,F,"5'07""",09 11,11-11-77,Glasgow,Ross Co,St Mirren,2007,Scottish
12,12,Richard Brittain,M,"5'09""",10  07,24-09-83,Bangour,Livingston,St Mirren,2007,Scottish
14,14,Garry Brady,M,"5'10""",10 09,07-09-76,Glasgow,Dundee,St Mirren,2007,Scottish
15,15,Mark Corcoran,M,"5'10""",11 03,30-11-80,Perth,Hamilton Academical,St Mirren,2007,Scottish
16,16,Ian Maxwell,D,"6'02""",14 00,02-05-75,Glasgow,St Johnstone,St Mirren,2007,Scottish
17,17,Craig Dargo,F,"5'06""",10 01,03-01-78,Edinburgh,Inverness CT,St Mirren,2007,Scottish
18,18,Jim Hamilton,F,"6'00""",10  10,09-02-76,Aberdeen,Dunfermline Ath,St Mirren,2007,Scottish
19,19,Franco  Miranda,D,"6'00""",12  01,13-05-85,Comodoro Rivadavia,CIA,St Mirren,2007,Scottish
20,20,Craig Molloy,M,"5'07""",10 03,26-04-86,Greenock,None,St Mirren,2007,Scottish
21,21,Mark  Howard,G,"6'02""",12  00,21-09-86,Southwark,Cardiff C,St Mirren,2007,Scottish
22,22,Stephen O'Donnell,M,"6'00""",11 02,10-07-83,Bellshill,St Mirren,St Mirren,2007,Scottish
23,23,Ryan McCay,M,"5'08""",10 08,04-05-86,Paisley,None,St Mirren,2007,Scottish
24,24,Mark Docherty,M,"5'09""",10 02,15-05-88,Bellshill,None,St Mirren,2007,Scottish
25,25,David Barron,M,"5'10""",12 07,10-09-87,Greenock,None,St Mirren,2007,Scottish
26,26,Stephen McGinn,M,,,02-12-88,,None,St Mirren,2007,Scottish
27,27,Mark McAusland,D,"6'00""",10 01,13-08-88,,None,St Mirren,2007,Scottish
28,28,Andy Millen,D,"5'11""",11 04,10-06-65,Glasgow,Clyde,St Mirren,2007,Scottish
30,30,Paul Mathers,G,"5'11""",11 06,17-01-70,Aberdeen,East Fife,St Mirren,2007,Scottish
31,31,Kevin Adam,F,,,10-05-89,Paisley,None,St Mirren,2007,Scottish
32,32,Ben Carson,M,,,23-05-90,Irvine,None,St Mirren,2007,Scottish
33,33,Sean Crighton,D,,,26-03-90,Greenock,None,St Mirren,2007,Scottish
34,34,Euan Cunningham,M,,,10-03-90,Paisley,None,St Mirren,2007,Scottish
35,35,Steven Gaffney,D,,,20-05-89,Glasgow,None,St Mirren,2007,Scottish
36,36,Scott Gair,D,,,19-06-90,Glasgow,None,St Mirren,2007,Scottish
37,37,Lewis MacAulay,D,,,23-01-90,Livingston,None,St Mirren,2007,Scottish
39,39,Neil McMechan,D,,,05-01-89,Bangour,None,St Mirren,2007,Scottish
40,40,Christopher McMenamin,M,,,02-01-89,Glasgow,None,St Mirren,2007,Scottish
41,41,Jon McShane,F,,,14-09-91,Paisley,None,St Mirren,2007,Scottish
42,42,Paul Quinn,F,,,16-08-90,Greenock,None,St Mirren,2007,Scottish
43,43,Mark Quirk,D,,,10-02-90,Irvine,None,St Mirren,2007,Scottish
44,45,Andrew Stirling,M,,,05-03-90,Paisley,None,St Mirren,2007,Scottish
45,50,Darren Stewart,G,,,21-09-89,Paisley,None,St Mirren,2007,Scottish
